Brand,Model,Model_year,Milage,Fuel_type,Engine,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Volvo,X3 xDrive30i,2020,99999,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Brown,At least 1 accident or damage reported,Yes,40000
Volvo,F-150 Raptor,2020,99982,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,62999
Volvo,Taycan,2022,99941,,Electric,Automatic,Black,Black,None reported,,90998
Volvo,S4 3.0T Premium Plus,2022,99915,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,53900
Volvo,Continental GT Speed,2023,99897,Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,C / C,Hotspur,None reported,Yes,349950
Volvo,E-Class E 300 4MATIC,2018,99769,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,25900
Volvo,AMG GLS 63 4MATIC,2023,99700,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Gray,Beige,None reported,Yes,175000
Volvo,Routan SE,2011,99600,Gasoline,283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Gray,At least 1 accident or damage reported,Yes,3500
Volvo,Ascent Touring 7-Passenger,2021,99524,Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,36000
Volvo,X6 xDrive40i,2020,99500,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,59335
Volvo,911 Carrera,2015,99499,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,66500
Volvo,Impala 2LZ,2018,99450,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,17899
Volvo,CT 200h Base,2016,99200,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,21995
Volvo,Martin DB7 Vantage Volante,2003,99200,Gasoline,420.0HP 5.9L 12 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,,,32850
Volvo,M8 Gran Coupe Competition,2022,99100,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,99800
Volvo,Corvette Stingray,2015,99000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,49000
Volvo,F-150 Lariat,2018,99000,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,38000
Volvo,Cayenne Turbo,2020,99000,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Quartzite Grey Metallic,Black,None reported,,89900
Volvo,Sequoia SR5,2010,99000,Gasoline,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,17900
Volvo,911 Carrera S,2021,99000,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,,,151900
Volvo,Murano SL,2007,989,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,6750
Volvo,X3 xDrive28i,2015,98995,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,Yes,17000
