Price,Model_year,Milage,Brand,Model,Fuel_type,Transmission,Accident,Clean_title,condition
24590,2013.0,80318.0,gmc,sierra 1500 extended cab slt,other,other,Unknown,Clean,good
36499,2013.0,108174.0,chevrolet,2500hd lt duramax 4x4,diesel,automatic,Unknown,Clean,
9970,2016.0,42407.0,kia,forte lx,gas,automatic,Unknown,Clean,excellent
23500,2015.0,33875.0,mercedes-benz,gla,gas,automatic,Unknown,Clean,
53986,2020.0,18729.0,acura,mdx,gas,automatic,Unknown,Clean,
39590,2019.0,25399.0,,Genesis G70 3.3T Dynamic Edition,gas,other,Unknown,Clean,good
25995,2016.0,44966.0,ram,1500,gas,automatic,Unknown,Clean,
27990,2018.0,34226.0,audi,a3 sportback e-tron premium,other,other,Unknown,Clean,good
9995,2014.0,126302.0,mazda,mazda6 i touring,gas,automatic,Unknown,Clean,excellent
23590,2019.0,24390.0,toyota,prius prime plus,other,other,Unknown,Clean,good
39590,2020.0,8396.0,bmw,x3 sdrive30i sport utility,other,other,Unknown,Clean,good
24990,2018.0,15608.0,chrysler,300 limited sedan 4d,gas,other,Unknown,Clean,good
5500,2001.0,245000.0,gmc,sierra,gas,automatic,Unknown,Clean,good
17590,2017.0,36079.0,kia,optima plug-in hybrid ex,other,other,Unknown,Clean,good
2000,2003.0,186000.0,nissan,murano sl awd,gas,automatic,Unknown,Clean,fair
3500,2008.0,180000.0,nissan,altima 2.5 s,gas,automatic,Unknown,Clean,good
32999,2017.0,53353.0,lexus,rx 350,gas,other,Unknown,Clean,
5995,2010.0,411.0,honda,civic ex,gas,automatic,Unknown,Clean,
23500,2012.0,84000.0,porsche,panamera,gas,automatic,Unknown,Salvage,good
5300,2001.0,213000.0,ram,,gas,automatic,Unknown,Clean,good
7600,2014.0,234000.0,ford,f150,gas,automatic,Unknown,Clean,
12999,2008.0,242027.0,ram,2500,gas,automatic,Unknown,Clean,excellent
10000,2011.0,85000.0,ford,taurus,gas,automatic,Unknown,Clean,good
12900,2017.0,123650.0,nissan,altima 2.5 sv,other,automatic,Unknown,Clean,good
19995,2019.0,6169.0,buick,encore,gas,automatic,Unknown,Clean,excellent
38000,2017.0,55000.0,toyota,tundra sr5,gas,automatic,Unknown,Clean,excellent
58995,2016.0,56749.0,ram,2500 laramie crewcab 4wd,diesel,automatic,Unknown,Clean,
16000,1999.0,67800.0,chevrolet,corvette,gas,automatic,Unknown,Clean,excellent
33990,2019.0,23963.0,toyota,rav4 hybrid xse sport,hybrid,other,Unknown,Clean,good
15990,2019.0,21523.0,chevrolet,trax ls sport utility,other,other,Unknown,Clean,good
30590,2019.0,40251.0,lexus,nx 300 sport utility 4d,other,other,Unknown,Clean,good
17950,2013.0,28310.0,dodge,durango,gas,automatic,Unknown,Clean,excellent
14995,2005.0,299387.0,chevrolet,silverado 2500,diesel,automatic,Unknown,Clean,
14259,2019.0,24110.0,chevrolet,spark,gas,automatic,Unknown,Clean,
33933,2019.0,48915.0,ford,explorer,gas,other,Unknown,Clean,
23999,2020.0,42850.0,chevrolet,equinox,gas,other,Unknown,Clean,
37888,2018.0,23707.0,volvo,certified,gas,automatic,Unknown,Clean,excellent
24995,2013.0,117740.0,chevrolet,silverado 1500 lt ext cab lifted,other,automatic,Unknown,Clean,
24990,2017.0,40338.0,lexus,es 350 sedan 4d,gas,automatic,Unknown,Clean,good
5000,2005.0,110000.0,,2005 mustang gt,gas,manual,Unknown,lien,good
33590,2020.0,786.0,,Genesis G70 2.0T Sedan 4D,other,other,Unknown,Clean,good
37590,2017.0,40152.0,chevrolet,colorado crew cab zr2,other,other,Unknown,Clean,good
20000,2016.0,13088.0,,scion frs,other,manual,Unknown,Clean,excellent
4000,2006.0,161530.0,hyundai,sonata,gas,automatic,Unknown,Clean,
11900,2011.0,118047.0,mitsubishi,lancer ralliart,gas,automatic,Unknown,Clean,excellent
4700,2011.0,74000.0,honda,fit,gas,automatic,Unknown,Salvage,
32590,2017.0,44305.0,jaguar,f-pace 35t premium sport,other,other,Unknown,Clean,good
35000,2019.0,2075.0,,2019 wrangler,gas,manual,Unknown,Clean,new
5500,2011.0,120000.0,dodge,grand caravan crew,gas,automatic,Unknown,Clean,excellent
6800,2011.0,95000.0,honda,civic,gas,automatic,Unknown,rebuilt,excellent
18250,2016.0,69000.0,ford,explorer xlt,gas,automatic,Unknown,Clean,excellent
7999,2009.0,116195.0,chevrolet,hhr,gas,automatic,Unknown,Clean,like new
36590,2019.0,14222.0,gmc,sierra 1500 limited double,gas,other,Unknown,Clean,good
18597,2012.0,191461.0,ram,1500,gas,automatic,Unknown,Clean,
35990,2021.0,2600.0,jeep,wrangler sport suv 2d,gas,other,Unknown,Clean,good
13900,2001.0,227000.0,ford,excursion ltd,diesel,automatic,Unknown,Clean,excellent
32590,2017.0,20425.0,lexus,rx 350 sport utility 4d,gas,other,Unknown,Clean,good
2500,2006.0,105095.0,dodge,caravan,gas,automatic,Unknown,Clean,good
9988,2012.0,91000.0,jeep,compass sport bad credit,gas,automatic,Unknown,Clean,excellent
5900,2007.0,127044.0,toyota,camry le 4dr sedan,gas,automatic,Unknown,Clean,excellent
37590,2019.0,30356.0,acura,mdx advance pkg sport,other,other,Unknown,Clean,good
